name,position,cost,points
Ezequiel Duran,SS/OF/3B,2700.0,8.43
Tony Kemp,2B/OF,2700.0,6.47
Jason Heyward,OF,2700.0,7.68
Matt Chapman,3B,2700.0,9.15
Amed Rosario,SS,2700.0,8.48
Elias Díaz,C,2700.0,8.15
Elvis Andrus,SS/2B,2700.0,7.62
DJ LeMahieu,3B/1B/2B,2700.0,8.15
Joey Meneses,1B,2700.0,9.24
Trent Grisham,OF,2700.0,8.11
LaMonte Wade Jr.,1B,2700.0,8.67
Connor Joe,1B/OF,2700.0,7.94
Ceddanne Rafaela,3B,2700.0,7.09
Kyle Farmer,2B/3B/SS,2700.0,6.66
Drew Waters,OF,2700.0,8.27
Parker Meadows,OF,2700.0,8.31
Alexander Canario,OF,2600.0,19.35
Tyrone Taylor,OF,2600.0,7.69
Kyle Isbel,OF,2600.0,7.54
Connor Wong,C,2600.0,7.13
Oswald Peraza,SS/2B/3B,2600.0,5.84
Dairon Blanco,OF,2600.0,6.88
Yan Gomes,C,2600.0,7.72
Anthony Volpe,SS,2600.0,8.68
Jo Adell,OF,2600.0,10.53
Trevor Story,2B/SS,2600.0,6.96
Donovan Solano,1B/2B/3B,2600.0,6.63
Garrett Cooper,1B,2600.0,8.0
Ramón Laureano,OF,2600.0,8.31
Jordan Westburg,SS/3B,2600.0,7.48
Patrick Wisdom,1B/3B/OF,2600.0,8.4
Jacob Young,OF,2600.0,8.0
Alex Kirilloff,1B/OF,2600.0,8.12
Rowdy Tellez,1B,2600.0,6.85
Mitch Haniger,OF,2600.0,8.32
Edward Olivares,OF,2600.0,8.36
Joc Pederson,OF,2600.0,8.68
Aaron Hicks,OF,2600.0,7.91
Spencer Horwitz,1B,2600.0,6.7
Seth Brown,OF,2600.0,7.28
Johan Rojas,OF,2600.0,7.57
Henry Davis,C/OF,2600.0,7.9
Josh Donaldson,3B,2600.0,8.49
Bo Naylor,C,2600.0,8.87
David Peralta,OF,2500.0,6.61
Estevan Florial,OF,2500.0,7.5
Carlos Pérez,C/1B,2500.0,5.32
Hunter Renfroe,OF,2500.0,8.31
Victor Caratini,C,2500.0,7.63
José Caballero,3B/2B/SS,2500.0,7.3
Jorge Mateo,SS,2500.0,7.64
Alex Call,OF,2500.0,6.61
Dominic Canzone,OF,2500.0,7.12
Adam Frazier,2B/OF,2500.0,7.74
Tim Anderson,SS,2500.0,7.21
Nick Senzel,OF/2B/3B,2500.0,7.58
Cavan Biggio,2B/1B,2500.0,7.0
Patrick Bailey,C,2500.0,7.52
Mauricio Dubón,2B/SS/OF,2500.0,8.46
Travis Jankowski,OF,2500.0,6.46
Miguel Andujar,3B/OF,2500.0,8.67
Javier Báez,SS,2500.0,7.83
Jake Bauers,1B/OF,2500.0,7.11
Zach McKinstry,2B/3B/OF,2500.0,6.97
Ramón Urías,3B/2B/1B,2500.0,7.31
Alfonso Rivas,1B,2500.0,4.87
Yuli Gurriel,1B,2500.0,6.13
Will Brennan,OF,2500.0,6.34
Alek Thomas,OF,2500.0,6.88
Andrew Knizner,C,2400.0,7.84
Elehuris Montero,3B/1B,2400.0,7.49
Jared Walsh,1B,2400.0,5.03
Joey Wendle,SS,2400.0,4.88
Noelvi Marte,SS/3B,2400.0,8.06
Logan Porter,C,2400.0,7.81
Kolten Wong,2B,2400.0,5.26
Paul DeJong,SS,2400.0,6.86
Brett Baty,3B,2400.0,6.44
Gavin Sheets,1B/OF,2400.0,5.4
Mark Vientos,3B/1B,2400.0,6.76
Andruw Monasterio,SS/2B/3B,2400.0,7.44
James McCann,C,2400.0,6.93
Brian Anderson,3B/OF,2400.0,7.66
Dominic Smith,1B,2400.0,7.19
Ji Man Choi,1B,2400.0,6.7
Brendan Rodgers,2B,2400.0,7.68
Myles Straw,OF,2400.0,6.19
Jake Cave,OF,2400.0,6.33
Heston Kjerstad,OF,2400.0,6.62
Brenton Doyle,OF,2400.0,7.19
Nick Loftin,SS,2400.0,10.56
Tyler Stephenson,C,2400.0,7.35
Pete Crow-Armstrong,OF,2400.0,2.11
Endy Rodríguez,C,2400.0,5.82
Austin Wells,C,2400.0,6.25
Miguel Amaya,C,2400.0,6.54
David Fry,C/1B,2400.0,4.41
Jordan Diaz,2B,2400.0,5.88
Dylan Moore,OF/SS/2B,2400.0,6.57
Kevin Pillar,OF,2400.0,5.68
Andy Ibáñez,3B/OF/2B,2400.0,7.01
Michael Massey,2B,2400.0,7.35
Pablo Reyes,2B/SS,2400.0,7.1
Jake Alu,3B/2B,2400.0,5.56
Osleivis Basabe,SS,2400.0,6.79
Kevin Kiermaier,OF,2400.0,7.54
Richie Palacios,OF,2400.0,7.45
Jake McCarthy,OF,2400.0,7.36
Stuart Fairchild,OF,2400.0,6.45
Nicky Lopez,3B/2B/SS,2400.0,5.5
Rafael Ortega,OF,2400.0,6.07
Xavier Edwards,2B,2400.0,4.9
Jake Meyers,OF,2300.0,6.6
Zack Short,SS/2B/3B,2300.0,4.7
Emmanuel Rivera,3B/1B,2300.0,6.59
Alan Trejo,SS,2300.0,5.15
Everson Pereira,OF,2300.0,6.36
Masyn Winn,SS,2300.0,4.74
Rob Refsnyder,OF,2300.0,6.16
Tyler Freeman,2B/3B,2300.0,5.22
Garrett Hampson,2B/SS/OF,2300.0,5.54
Gabriel Moreno,C,2300.0,7.5
Alejandro Kirk,C,2300.0,6.45
Nick Pratto,OF/1B,2300.0,7.25
Jon Berti,SS/2B/3B,2300.0,6.38
Eduardo Escobar,3B/2B,2300.0,5.83
Martín Maldonado,C,2300.0,6.07
Ildemaro Vargas,2B/SS/3B,2300.0,6.48
Yasmani Grandal,C,2300.0,6.09
Jace Peterson,2B/3B,2300.0,6.19
Miguel Rojas,SS/2B,2300.0,6.38
Manuel Margot,OF,2300.0,7.25
Trayce Thompson,OF,2300.0,4.84
Matt Thaiss,C,2300.0,6.48
Luis Urías,3B/SS/2B,2300.0,6.58
Daniel Vogelbach,1B,2300.0,7.17
Kiké Hernández,2B/SS/OF,2300.0,7.26
Evan Longoria,3B,2300.0,6.97
Zach Remillard,3B/2B/OF,2300.0,6.05
Andre Lipcius,3B,2300.0,5.4
Blake Sabol,C/OF,2300.0,7.1
Jonathan Aranda,2B,2300.0,5.74
Matthew Batten,3B,2300.0,7.04
Brice Turang,2B/SS,2300.0,6.63
Luken Baker,1B,2200.0,3.61
Kevin Smith,SS,2200.0,5.27
Kyle Higashioka,C,2200.0,5.7
Blake Perkins,OF,2200.0,5.81
Joshua Palacios,OF,2200.0,6.82
Tyler Soderstrom,C,2200.0,4.39
Ernie Clement,2B/SS,2200.0,4.71
Jon Singleton,1B,2200.0,5.59
Austin Slater,OF,2200.0,5.0
Tyler Nevin,3B,2200.0,4.6
Vaughn Grissom,SS,2200.0,5.97
Luis Guillorme,2B/3B/SS,2200.0,3.94
Juan Yepez,1B/OF,2200.0,3.95
Aledmys Díaz,2B/SS/3B,2200.0,5.2
Brett Phillips,OF,2200.0,4.55
Christian Bethancourt,C,2200.0,6.49
Isiah Kiner-Falefa,SS/OF/3B,2200.0,6.59
Sean Bouchard,1B,2200.0,3.17
Jonathan Araúz,2B,2200.0,3.96
David Fletcher,SS,2200.0,5.17
Ben Rortvedt,C,2200.0,3.38
Edmundo Sosa,3B/SS,2200.0,6.17
Christian Vázquez,C,2200.0,5.96
Jared Triolo,3B,2200.0,8.09
Jordan Luplow,OF,2200.0,4.94
Lenyn Sosa,2B/3B/SS,2200.0,5.12
René Pinto,C,2200.0,5.98
Luke Maile,C,2200.0,5.12
Curtis Mead,3B,2200.0,6.71
Nick Allen,SS,2200.0,4.56
Rodolfo Castro,2B/SS/3B,2100.0,5.09
Sam Haggerty,2B/1B/OF,2100.0,4.76
Carson Kelly,C,2100.0,4.28
Gabriel Arias,1B/3B/SS,2100.0,5.38
Jonathan Ornelas,3B,2100.0,1.54
Santiago Espinal,2B/3B/SS,2100.0,5.31
Tim Locastro,OF,2100.0,3.71
Grae Kessinger,SS,2100.0,2.66
Korey Lee,C,2100.0,3.29
Matt Duffy,1B/2B/3B,2100.0,4.01
Iván Herrera,C,2100.0,6.17
Jordan Lawlar,SS,2100.0,3.42
Sam Huff,C,2100.0,5.19
Luis Matos,OF,2100.0,6.21
Reese McGuire,C,2100.0,4.96
Miguel Cabrera,1B,2100.0,6.17
Jacob Stallings,C,2100.0,5.12
Jason Delay,C,2100.0,4.97
Austin Hedges,C,2100.0,3.35
Michael Chavis,1B/2B/3B,2100.0,3.73
Bobby Dalbec,1B,2100.0,5.25
Garrett Stubbs,C,2100.0,4.66
José Azocar,OF,2100.0,4.32
Alika Williams,SS,2100.0,3.45
Luke Williams,2B/3B/SS,2100.0,2.68
Austin Barnes,C,2100.0,4.56
Seby Zavala,C,2100.0,4.48
Andrew Stevenson,OF,2100.0,3.55
Matt Beaty,OF,2100.0,4.21
Lawrence Butler,OF,2100.0,5.08
Omar Narváez,C,2100.0,4.27
Cam Gallagher,C,2100.0,2.46
Josh Smith,OF/SS/3B,2100.0,4.8
Samad Taylor,2B/OF,2100.0,5.36
José Tena,SS,2100.0,3.1
Oswaldo Cabrera,OF,2100.0,5.51
Cristian Pache,OF,2100.0,4.61
Nick Fortes,C,2100.0,5.15
Jordyn Adams,OF,2100.0,1.62
Chad Wallach,C,2100.0,5.09
Miles Mastrobuoni,2B,2100.0,5.2
Marco Luciano,SS,2000.0,5.47
Vidal Bruján,2B,2000.0,4.04
Luis Torrens,C,2000.0,3.32
Jordan Groshans,3B,2000.0,6.16
Kyle Garlick,OF,2000.0,4.45
Michael Stefanic,2B,2000.0,4.55
Brayan Rocchio,SS,2000.0,5.73
Brian O'Keefe,C,2000.0,3.12
Tomás Nido,C,2000.0,2.02
Cody Thomas,OF,2000.0,3.69
José Godoy,C,2000.0,2.21
Drew Maggi,3B,2000.0,5.23
David Hensley,2B/OF,2000.0,4.23
Tyler Heineman,C,2000.0,2.87
Danny Mendick,2B/SS,2000.0,2.64
Weston Wilson,3B,2000.0,10.41
Chadwick Tromp,C,2000.0,2.61
Tyler Cropley,C,2000.0,6.5
Trey Mancini,1B/OF,2000.0,6.36
Corey Julks,OF,2000.0,7.54
César Salazar,C,2000.0,0.93
Franmil Reyes,OF,2000.0,5.44
Jason Vosler,1B/3B,2000.0,6.6
Tres Barrera,C,2000.0,0.0
David Villar,3B/2B,2000.0,5.6
Preston Tucker,OF,2000.0,0.0
Carlos Pérez,C,2000.0,3.08
Juniel Querecuto,3B,2000.0,1.6
Tristan Gray,SS,2000.0,10.85
Brandon Dixon,1B/OF,2000.0,4.92
Cade Marlowe,OF,2000.0,7.47
Oscar Gonzalez,OF,2000.0,5.13
Kyle Stowers,OF,2000.0,1.21
Braden Shewmake,SS,2000.0,0.0
Yonny Hernández,3B/2B,2000.0,3.64
Michael Toglia,1B,2000.0,5.51
Jonathan Schoop,2B/3B,2000.0,4.04
Jacob Amaya,SS,2000.0,5.55
Michael Busch,3B,2000.0,5.41
Adam Engel,OF,2000.0,0.0
Franchy Cordero,OF,2000.0,7.17
Miguel Vargas,2B,2000.0,8.06
Pavin Smith,1B/OF,2000.0,7.07
Rafael Marchán,C,2000.0,0.0
Nick Maton,2B/3B,2000.0,6.04
Owen Miller,2B/3B/1B,2000.0,7.1
José Iglesias,2B/SS,2000.0,7.67
Taylor Trammell,OF,2000.0,6.17
Conner Capel,OF,2000.0,5.33
Eric Hosmer,1B,2000.0,5.88
Wil Myers,OF/1B,2000.0,6.3
Cal Stevenson,OF,2000.0,2.03
Israel Pineda,C,2000.0,2.29
Colton Cowser,OF,2000.0,5.38
Joey Ortiz,SS,2000.0,3.38
AJ Pollock,OF,2000.0,4.63
Nick Solak,OF,2000.0,1.6
Adam Haseley,OF,2000.0,2.54
Sandy León,C,2000.0,2.58
Heliot Ramos,OF,2000.0,4.3
Cam Eden,OF,2000.0,0.0
Bubba Thompson,OF,2000.0,3.51
Caleb Hamilton,C,2000.0,0.75
Charlie Culberson,3B,2000.0,3.0
Ben Gamel,OF,2000.0,4.23
Tommy La Stella,2B/3B,2000.0,3.11
Tyler Fitzgerald,SS,2000.0,12.5
Wade Meckler,OF,2000.0,4.95
Taylor Motter,2B/3B,2000.0,2.84
Chris Okey,C,2000.0,0.0
Jean Segura,3B,2000.0,6.04
Johan Camargo,SS/3B,2000.0,3.12
TJ Hopkins,OF,2000.0,2.47
Nick Gonzales,2B/SS,2000.0,6.86
Manny Piña,C,2000.0,6.17
Clint Frazier,OF,2000.0,4.37
Tyler Wade,OF/2B/SS,2000.0,4.48
David Dahl,OF,2000.0,4.67
Hunter Dozier,3B/1B,2000.0,5.79
Luke Voit,1B,2000.0,4.95
Andrew Velazquez,SS,2000.0,4.18
Dane Myers,OF,2000.0,6.55
Tucker Barnhart,C,2000.0,3.74
Harold Castro,1B/3B/OF,2000.0,4.7
Billy Hamilton,OF,2000.0,6.13
Leury García,2B/SS,2000.0,4.87
Rougned Odor,2B/3B/OF,2000.0,5.86
Mike Zunino,C,2000.0,5.61
Nick Ahmed,SS,2000.0,4.86
Buddy Kennedy,3B,2000.0,3.67
Jesús Aguilar,1B,2000.0,5.66
Jackie Bradley Jr.,OF,2000.0,3.18
Dalton Guthrie,OF,2000.0,1.73
Josh Lester,1B,2000.0,2.63
Corey Dickerson,OF,2000.0,5.43
Chris Owings,SS/2B,2000.0,1.09
Óscar Mercado,OF,2000.0,3.9
Coco Montes,2B,2000.0,3.61
Matt Reynolds,1B/SS,2000.0,3.09
Forrest Wall,OF,2000.0,2.79
Raimel Tapia,OF,2000.0,6.08
Derek Hill,OF,2000.0,4.23
Austin Nola,C,2000.0,3.68
Christian Arroyo,2B,2000.0,6.11
Meibrys Viloria,C,2000.0,0.3
Eric Haase,C/OF,2000.0,5.25
Austin Wynns,C,2000.0,4.31
Zack Collins,C,2000.0,6.0
Joey Bart,C,2000.0,4.54
Peyton Burdick,OF,2000.0,5.05
Francisco Mejía,C,2000.0,6.62
Yu Chang,3B/SS,2000.0,6.28
Greg Allen,OF,2000.0,3.89
J.P. Martínez,OF,2000.0,4.78
Rylan Bannon,3B,2000.0,0.0
Canaan Smith-Njigba,OF,2000.0,4.4
Jahmai Jones,2B/OF,2000.0,4.98
Jake Lamb,1B,2000.0,5.41
Willie Calhoun,OF,2000.0,7.07
Michael Pérez,C,2000.0,9.1
Isan Díaz,2B,2000.0,1.56
Blake Rutherford,OF,2000.0,2.54
José Fermín,SS,2000.0,2.41
Hanser Alberto,2B/3B,2000.0,6.73
Cole Tucker,OF/2B,2000.0,6.27
Enmanuel Valdez,3B,2000.0,7.12
Mason McCoy,SS,2000.0,1.06
Nathan Lukes,OF,2000.0,1.92
Trey Cabbage,3B,2000.0,4.7
Jorge Alfaro,C,2000.0,4.13
Edwin Ríos,3B,2000.0,2.76
Ryan McKenna,OF,2000.0,3.8
Kevin Padlo,3B,2000.0,3.06
Josh Harrison,3B/2B/OF,2000.0,4.33
Bligh Madris,OF,2000.0,3.31
Mark Kolozsvary,C,2000.0,0.0
Alejo Lopez,2B,2000.0,12.69
Nate Eaton,OF,2000.0,1.68
Diego Hernandez,OF,2000.0,0.0
Bryce Johnson,OF,2000.0,3.19
Jonny DeLuca,OF,2000.0,4.41
David Hamilton,SS,2000.0,3.62
Brett Wisely,OF/2B,2000.0,3.82
Joey Wiemer,OF,2000.0,6.73
Jared Young,1B,2000.0,8.24
Abraham Toro,3B/2B,2000.0,10.58
Nelson Cruz,OF,2000.0,6.33
Taylor Kohlwey,OF,2000.0,1.2
José Rodríguez,2B/3B,2000.0,3.2
Ryan Kreidler,2B/3B/SS,2000.0,1.12
Diego Castillo,SS/2B,2000.0,0.0
Henry Ramos,OF,2000.0,7.1
Abraham Almonte,OF,2000.0,1.52
Jose Herrera,C,2000.0,4.54
Connor Kaiser,SS,2000.0,0.0
Vinny Capra,3B,2000.0,3.45
Casey Schmitt,3B/SS/2B,2000.0,5.33
Michael Brosseau,3B,2000.0,4.76
Anthony Bemboom,C,2000.0,1.71
Jonah Bride,3B,2000.0,3.8
Cooper Hummel,OF,2000.0,3.03
Drew Ellis,3B,2000.0,6.48
Darick Hall,1B,2000.0,3.43
Matt Mervis,1B,2000.0,6.26
Oscar Colás,OF,2000.0,6.21
Jose Barrero,SS/OF,2000.0,6.51
Michael Siani,OF,2000.0,2.06
Luis González,OF,2000.0,7.37
Kody Clemens,1B,2000.0,5.58
Brett Sullivan,C,2000.0,3.5
Jeter Downs,SS,2000.0,7.71
Livan Soto,SS,2000.0,5.34
Gilberto Celestino,OF,2000.0,4.81
Cal Mitchell,OF,2000.0,1.5
