name,position,cost,points
Kole Calhoun,OF,2700.0,8.74
Chris Taylor,OF/3B/SS,2700.0,8.75
Drew Waters,OF,2700.0,7.91
Parker Meadows,OF,2700.0,9.17
Alexander Canario,OF,2600.0,9.67
Kyle Isbel,OF,2600.0,7.4
Connor Wong,C,2600.0,6.95
Oswald Peraza,SS/2B/3B,2600.0,6.19
Dairon Blanco,OF,2600.0,6.4
Yan Gomes,C,2600.0,7.77
Anthony Volpe,SS,2600.0,8.56
Jake Rogers,C,2600.0,8.04
Jesús Sánchez,OF,2600.0,7.59
Jason Heyward,OF,2600.0,7.46
Trevor Story,2B/SS,2600.0,7.08
Victor Caratini,C,2600.0,7.38
Salvador Perez,C,2600.0,8.72
Alex Call,OF,2600.0,6.56
Mike Moustakas,1B/3B,2600.0,7.15
Junior Caminero,SS,2600.0,7.09
Ramón Laureano,OF,2600.0,8.19
Jordan Westburg,SS/3B,2600.0,7.36
Patrick Wisdom,1B/3B/OF,2600.0,8.49
Jacob Young,OF,2600.0,7.81
Miguel Andujar,3B/OF,2600.0,8.29
Jake Bauers,1B/OF,2600.0,7.05
Rowdy Tellez,1B,2600.0,6.73
Andrew Stevenson,OF,2600.0,3.18
Mitch Haniger,OF,2600.0,7.87
Joc Pederson,OF,2600.0,8.47
Aaron Hicks,OF,2600.0,7.93
Spencer Horwitz,1B,2600.0,6.7
Seth Brown,OF,2600.0,7.3
Henry Davis,C/OF,2600.0,8.53
Josh Donaldson,3B,2600.0,8.58
Bo Naylor,C,2600.0,9.19
Marco Luciano,SS,2500.0,6.34
Jared Walsh,1B,2500.0,4.96
Kyle Garlick,OF,2500.0,4.45
Joshua Palacios,OF,2500.0,6.68
Michael Toglia,1B,2500.0,5.51
Gabriel Moreno,C,2500.0,7.46
Estevan Florial,OF,2500.0,8.33
Carlos Pérez,C/1B,2500.0,5.3
Tyler Fitzgerald,SS,2500.0,10.2
Hunter Renfroe,OF,2500.0,8.31
José Caballero,3B/2B/SS,2500.0,7.08
Jorge Mateo,SS,2500.0,7.67
Harold Castro,1B/3B/OF,2500.0,4.65
Dominic Canzone,OF,2500.0,6.72
Coco Montes,2B,2500.0,3.61
Adam Frazier,2B/OF,2500.0,7.65
Austin Wynns,C,2500.0,4.43
Tim Anderson,SS,2500.0,7.03
Nick Senzel,OF/2B/3B,2500.0,7.48
Cavan Biggio,2B/1B,2500.0,6.98
Patrick Bailey,C,2500.0,7.16
Travis Jankowski,OF,2500.0,6.43
Cole Tucker,OF/2B,2500.0,6.27
Kevin Newman,SS/2B/3B,2500.0,7.35
Javier Báez,SS,2500.0,7.75
Andy Ibáñez,3B/OF/2B,2500.0,7.1
Zach McKinstry,2B/3B/OF,2500.0,6.93
Ramón Urías,3B/2B/1B,2500.0,7.24
Mark Kolozsvary,C,2500.0,0.0
Alfonso Rivas,1B,2500.0,5.49
Connor Kaiser,SS,2500.0,0.0
Yuli Gurriel,1B,2500.0,5.85
Will Brennan,OF,2500.0,6.4
Alek Thomas,OF,2500.0,6.83
Gilberto Celestino,OF,2500.0,4.81
Andrew Knizner,C,2400.0,7.86
Joey Wendle,SS,2400.0,4.79
Noelvi Marte,SS/3B,2400.0,7.73
Logan Porter,C,2400.0,6.89
David Peralta,OF,2400.0,6.67
Paul DeJong,SS,2400.0,6.86
Gavin Sheets,1B/OF,2400.0,5.34
Akil Baddoo,OF,2400.0,6.87
Juan Yepez,1B/OF,2400.0,3.3
Andruw Monasterio,SS/2B/3B,2400.0,7.09
James McCann,C,2400.0,6.8
Jon Berti,SS/2B/3B,2400.0,7.1
Brian Anderson,3B/OF,2400.0,7.69
Dominic Smith,1B,2400.0,7.08
Ji Man Choi,1B,2400.0,5.98
Myles Straw,OF,2400.0,6.23
Miguel Cabrera,1B,2400.0,6.37
Manuel Margot,OF,2400.0,7.33
Heston Kjerstad,OF,2400.0,6.2
Nick Loftin,SS,2400.0,8.87
Tyler Stephenson,C,2400.0,7.39
Pete Crow-Armstrong,OF,2400.0,2.28
Endy Rodríguez,C,2400.0,6.02
Austin Wells,C,2400.0,7.92
Miguel Amaya,C,2400.0,6.41
David Fry,C/1B,2400.0,4.56
Jordan Diaz,2B,2400.0,5.78
Dylan Moore,OF/SS/2B,2400.0,6.29
Enmanuel Valdez,3B,2400.0,7.51
Kevin Pillar,OF,2400.0,6.0
Michael Massey,2B,2400.0,7.35
Pablo Reyes,2B/SS,2400.0,6.63
Jake Alu,3B/2B,2400.0,5.96
Osleivis Basabe,SS,2400.0,6.52
Kevin Kiermaier,OF,2400.0,7.38
Richie Palacios,OF,2400.0,7.62
Jake McCarthy,OF,2400.0,7.05
Stuart Fairchild,OF,2400.0,6.27
Nicky Lopez,3B/2B/SS,2400.0,5.45
Xavier Edwards,2B,2400.0,5.92
Luken Baker,1B,2300.0,4.86
Jake Meyers,OF,2300.0,6.54
Zack Short,SS/2B/3B,2300.0,4.62
Blake Perkins,OF,2300.0,5.94
Emmanuel Rivera,3B/1B,2300.0,6.42
Everson Pereira,OF,2300.0,6.21
Masyn Winn,SS,2300.0,5.31
Rob Refsnyder,OF,2300.0,6.08
Tyler Freeman,2B/3B,2300.0,5.14
Kolten Wong,2B,2300.0,5.22
Austin Slater,OF,2300.0,4.92
Garrett Hampson,2B/SS/OF,2300.0,5.45
Tyler Nevin,3B,2300.0,5.12
Alejandro Kirk,C,2300.0,6.34
Nick Pratto,OF/1B,2300.0,7.07
Eduardo Escobar,3B/2B,2300.0,5.7
Martín Maldonado,C,2300.0,6.18
Ildemaro Vargas,2B/SS/3B,2300.0,6.43
Yasmani Grandal,C,2300.0,6.09
Jace Peterson,2B/3B,2300.0,6.17
Miguel Rojas,SS/2B,2300.0,6.25
Trayce Thompson,OF,2300.0,4.73
Matt Thaiss,C,2300.0,6.48
Kiké Hernández,2B/SS/OF,2300.0,7.26
Evan Longoria,3B,2300.0,7.01
Zach Remillard,3B/2B/OF,2300.0,5.75
Lawrence Butler,OF,2300.0,5.09
Andre Lipcius,3B,2300.0,5.73
Blake Sabol,C/OF,2300.0,6.97
Jonathan Aranda,2B,2300.0,5.89
Matthew Batten,3B,2300.0,6.74
Brice Turang,2B/SS,2300.0,6.66
Miles Mastrobuoni,2B,2300.0,5.61
Kevin Smith,SS,2200.0,4.94
Kyle Higashioka,C,2200.0,5.7
Brayan Rocchio,SS,2200.0,6.07
Tyler Soderstrom,C,2200.0,4.12
Ernie Clement,2B/SS,2200.0,4.71
Jon Singleton,1B,2200.0,5.37
Matt Duffy,1B/2B/3B,2200.0,4.25
Vaughn Grissom,SS,2200.0,5.97
Aledmys Díaz,2B/SS/3B,2200.0,5.17
Brett Phillips,OF,2200.0,3.96
Christian Bethancourt,C,2200.0,6.48
Isiah Kiner-Falefa,SS/OF/3B,2200.0,6.55
David Fletcher,SS,2200.0,4.91
Ben Rortvedt,C,2200.0,3.47
Jared Young,1B,2200.0,9.17
Lenyn Sosa,2B/3B/SS,2200.0,4.85
René Pinto,C,2200.0,6.01
Luke Maile,C,2200.0,5.53
Curtis Mead,3B,2200.0,7.65
Nick Allen,SS,2200.0,4.68
Michael Stefanic,2B,2100.0,5.39
Sam Haggerty,2B/1B/OF,2100.0,5.08
Carson Kelly,C,2100.0,4.74
Jonathan Ornelas,3B,2100.0,1.54
Santiago Espinal,2B/3B/SS,2100.0,5.36
Juniel Querecuto,3B,2100.0,2.62
Grae Kessinger,SS,2100.0,2.68
Korey Lee,C,2100.0,2.83
Iván Herrera,C,2100.0,5.13
Jordan Lawlar,SS,2100.0,3.03
Sam Huff,C,2100.0,5.19
Heliot Ramos,OF,2100.0,3.58
Luis Matos,OF,2100.0,5.91
Andrew Velazquez,SS,2100.0,4.18
Reese McGuire,C,2100.0,4.86
Jacob Stallings,C,2100.0,5.01
Jason Delay,C,2100.0,5.1
Austin Hedges,C,2100.0,3.35
Michael Chavis,1B/2B/3B,2100.0,3.73
Bobby Dalbec,1B,2100.0,4.51
José Azocar,OF,2100.0,4.44
Alika Williams,SS,2100.0,3.22
José Fermín,SS,2100.0,2.51
Luke Williams,2B/3B/SS,2100.0,2.42
Austin Barnes,C,2100.0,4.9
Seby Zavala,C,2100.0,4.5
Matt Beaty,OF,2100.0,4.21
Cam Gallagher,C,2100.0,2.37
Josh Smith,OF/SS/3B,2100.0,5.0
Samad Taylor,2B/OF,2100.0,5.36
José Tena,SS,2100.0,2.93
Oswaldo Cabrera,OF,2100.0,5.38
Nick Fortes,C,2100.0,5.17
Jordyn Adams,OF,2100.0,1.62
Chad Wallach,C,2100.0,5.01
Vidal Bruján,2B,2000.0,4.04
Luis Torrens,C,2000.0,3.12
Jordan Groshans,3B,2000.0,6.16
Brian O'Keefe,C,2000.0,3.12
Cody Thomas,OF,2000.0,3.69
José Godoy,C,2000.0,2.21
Drew Maggi,3B,2000.0,5.23
David Hensley,2B/OF,2000.0,4.23
Tyler Heineman,C,2000.0,3.03
Chadwick Tromp,C,2000.0,2.61
Tyler Cropley,C,2000.0,3.25
Trey Mancini,1B/OF,2000.0,6.36
Corey Julks,OF,2000.0,7.54
César Salazar,C,2000.0,0.93
Franmil Reyes,OF,2000.0,5.44
Jason Vosler,1B/3B,2000.0,6.6
Tres Barrera,C,2000.0,0.0
David Villar,3B/2B,2000.0,5.6
Preston Tucker,OF,2000.0,0.0
Carlos Pérez,C,2000.0,2.82
Tristan Gray,SS,2000.0,10.85
Brandon Dixon,1B/OF,2000.0,4.92
Cade Marlowe,OF,2000.0,7.47
Oscar Gonzalez,OF,2000.0,5.13
Kyle Stowers,OF,2000.0,1.21
Braden Shewmake,SS,2000.0,0.0
Yonny Hernández,3B/2B,2000.0,3.64
Jonathan Schoop,2B/3B,2000.0,4.04
Jacob Amaya,SS,2000.0,5.55
Michael Busch,3B,2000.0,5.41
Adam Engel,OF,2000.0,0.0
Franchy Cordero,OF,2000.0,7.17
Miguel Vargas,2B,2000.0,8.06
Pavin Smith,1B/OF,2000.0,7.07
Nick Maton,2B/3B,2000.0,6.04
Owen Miller,2B/3B/1B,2000.0,7.1
José Iglesias,2B/SS,2000.0,7.67
Taylor Trammell,OF,2000.0,6.17
Conner Capel,OF,2000.0,5.33
Eric Hosmer,1B,2000.0,5.88
Wil Myers,OF/1B,2000.0,6.3
Israel Pineda,C,2000.0,2.29
Colton Cowser,OF,2000.0,5.38
Joey Ortiz,SS,2000.0,3.38
AJ Pollock,OF,2000.0,4.63
Nick Solak,OF,2000.0,1.6
Adam Haseley,OF,2000.0,2.54
Sandy León,C,2000.0,2.58
Cam Eden,OF,2000.0,1.06
Bubba Thompson,OF,2000.0,3.51
Caleb Hamilton,C,2000.0,0.75
Charlie Culberson,3B,2000.0,3.0
Ben Gamel,OF,2000.0,4.23
Tommy La Stella,2B/3B,2000.0,3.11
Wade Meckler,OF,2000.0,4.95
Taylor Motter,2B/3B,2000.0,2.84
Chris Okey,C,2000.0,0.0
Jean Segura,3B,2000.0,6.04
Johan Camargo,SS/3B,2000.0,3.12
TJ Hopkins,OF,2000.0,2.47
Nick Gonzales,2B/SS,2000.0,6.53
Manny Piña,C,2000.0,6.17
Clint Frazier,OF,2000.0,4.37
Tyler Wade,OF/2B/SS,2000.0,4.48
David Dahl,OF,2000.0,4.67
Hunter Dozier,3B/1B,2000.0,5.79
Dane Myers,OF,2000.0,6.55
Tucker Barnhart,C,2000.0,3.74
Billy Hamilton,OF,2000.0,6.13
Leury García,2B/SS,2000.0,4.87
Rougned Odor,2B/3B/OF,2000.0,5.86
Mike Zunino,C,2000.0,5.61
Irving López,2B,2000.0,0.0
Nick Ahmed,SS,2000.0,4.86
Buddy Kennedy,3B,2000.0,3.67
Jesús Aguilar,1B,2000.0,5.66
Jackie Bradley Jr.,OF,2000.0,3.18
Dalton Guthrie,OF,2000.0,1.73
Josh Lester,1B,2000.0,2.63
Corey Dickerson,OF,2000.0,5.43
Chris Owings,SS/2B,2000.0,1.09
Óscar Mercado,OF,2000.0,3.9
Matt Reynolds,1B/SS,2000.0,3.09
Forrest Wall,OF,2000.0,5.5
Raimel Tapia,OF,2000.0,6.04
Derek Hill,OF,2000.0,4.23
Ehire Adrianza,SS/3B,2000.0,0.5
Austin Nola,C,2000.0,3.68
Christian Arroyo,2B,2000.0,6.11
Meibrys Viloria,C,2000.0,0.3
Eric Haase,C/OF,2000.0,5.25
Zack Collins,C,2000.0,6.0
Joey Bart,C,2000.0,4.54
Peyton Burdick,OF,2000.0,5.05
Francisco Mejía,C,2000.0,6.62
Yu Chang,3B/SS,2000.0,6.28
Greg Allen,OF,2000.0,3.89
Garrett Mitchell,OF,2000.0,9.64
J.P. Martínez,OF,2000.0,4.78
Rylan Bannon,3B,2000.0,0.0
Canaan Smith-Njigba,OF,2000.0,4.4
Jahmai Jones,2B/OF,2000.0,4.98
Jake Lamb,1B,2000.0,5.41
Willie Calhoun,OF,2000.0,7.07
Isan Díaz,2B,2000.0,1.56
Blake Rutherford,OF,2000.0,2.54
Hanser Alberto,2B/3B,2000.0,6.73
Tyler Naquin,OF,2000.0,0.0
Mason McCoy,SS,2000.0,1.06
Nathan Lukes,OF,2000.0,1.92
Trey Cabbage,3B,2000.0,4.7
Jorge Alfaro,C,2000.0,4.13
Edwin Ríos,3B,2000.0,2.76
Ryan McKenna,OF,2000.0,3.75
Kevin Padlo,3B,2000.0,3.06
Josh Harrison,3B/2B/OF,2000.0,4.33
Bligh Madris,OF,2000.0,3.31
Alejo Lopez,2B,2000.0,12.69
Nate Eaton,OF,2000.0,1.68
Diego Hernandez,OF,2000.0,0.0
Bryce Johnson,OF,2000.0,3.19
Jonny DeLuca,OF,2000.0,4.41
Brett Wisely,OF/2B,2000.0,3.82
Joey Wiemer,OF,2000.0,6.73
Abraham Toro,3B/2B,2000.0,10.58
Nelson Cruz,OF,2000.0,6.33
Taylor Kohlwey,OF,2000.0,1.2
José Rodríguez,2B/3B,2000.0,3.2
Ryan Kreidler,2B/3B/SS,2000.0,1.12
Diego Castillo,SS/2B,2000.0,0.0
Henry Ramos,OF,2000.0,7.1
Jose Herrera,C,2000.0,4.54
Vinny Capra,3B,2000.0,3.45
Casey Schmitt,3B/SS/2B,2000.0,5.33
Michael Brosseau,3B,2000.0,4.76
Anthony Bemboom,C,2000.0,1.71
Jonah Bride,3B,2000.0,3.8
Cooper Hummel,OF,2000.0,3.03
Matt Mervis,1B,2000.0,6.26
Oscar Colás,OF,2000.0,6.21
Jose Barrero,SS/OF,2000.0,6.51
Michael Siani,OF,2000.0,1.74
Luis González,OF,2000.0,7.37
Brett Sullivan,C,2000.0,3.93
Jeter Downs,SS,2000.0,7.71
Livan Soto,SS,2000.0,5.34
Cal Mitchell,OF,2000.0,1.5
