name,position,cost,points
Blake Snell,P,11500.0,39.61
Luis Castillo,P,10800.0,37.09
Logan Webb,P,10200.0,34.46
Justin Verlander,P,9700.0,31.52
Jon Gray,P,8000.0,26.35
Patrick Sandoval,P,7500.0,25.14
Corey Seager,SS,4400.0,14.72
Jose Altuve,2B,4400.0,13.93
Julio Rodríguez,OF,4300.0,13.46
Juan Soto,OF,4200.0,12.56
Yordan Alvarez,OF,3900.0,13.71
Fernando Tatis Jr.,OF,3800.0,12.28
Kyle Tucker,OF,3700.0,12.77
Adolis García,OF,3600.0,12.38
Marcus Semien,2B,3600.0,12.48
Manny Machado,3B,3500.0,10.79
Alex Bregman,3B,3500.0,11.27
Chas McCormick,OF,3400.0,11.63
Josh Jung,3B,3300.0,10.81
Cal Raleigh,C,3300.0,9.76
Thairo Estrada,2B/SS,3300.0,10.46
Xander Bogaerts,SS,3200.0,10.07
Mitch Garver,C,3200.0,10.67
J.P. Crawford,SS,3200.0,10.49
Logan O'Hoppe,C,3100.0,9.09
Ha-Seong Kim,2B/3B/SS,3100.0,10.54
Jonah Heim,C,3100.0,9.85
Jo Adell,OF,3000.0,10.74
Brandon Drury,1B/2B,3000.0,10.14
Nathaniel Lowe,1B,3000.0,10.36
Evan Carter,OF,3000.0,13.41
Nolan Schanuel,1B,2900.0,9.11
Randal Grichuk,OF,2900.0,9.19
Eugenio Suárez,3B,2900.0,9.42
Luis Campusano,C,2900.0,9.41
Yainer Diaz,C,2900.0,9.68
Mike Yastrzemski,OF,2900.0,9.1
Teoscar Hernández,OF,2900.0,9.95
Wilmer Flores,1B/3B/2B,2900.0,8.97
José Abreu,1B,2900.0,8.88
Jarred Kelenic,OF,2900.0,9.82
Robbie Grossman,OF,2800.0,8.42
Jeremy Peña,SS,2800.0,9.03
Michael Brantley,OF,2800.0,8.09
Michael Conforto,OF,2800.0,8.69
Eguy Rosario,SS,2800.0,9.77
Leody Taveras,OF,2800.0,9.22
J.D. Davis,3B,2800.0,8.52
Jurickson Profar,OF,2800.0,8.16
Ty France,1B,2800.0,8.43
Zach Neto,SS,2800.0,8.53
Josh Rojas,3B/2B,2700.0,7.19
Trent Grisham,OF,2700.0,7.98
Ezequiel Duran,SS/OF/3B,2700.0,8.43
Mike Ford,1B,2700.0,7.65
LaMonte Wade Jr.,1B,2700.0,8.8
Joc Pederson,OF,2600.0,8.59
Garrett Cooper,1B,2600.0,7.93
Mitch Haniger,OF,2600.0,7.95
Marco Luciano,SS,2500.0,6.44
Jared Walsh,1B,2500.0,5.37
Dominic Canzone,OF,2500.0,6.92
Patrick Bailey,C,2500.0,7.31
Mauricio Dubón,2B/SS/OF,2500.0,8.33
Travis Jankowski,OF,2500.0,6.46
José Caballero,3B/2B/SS,2500.0,7.16
Paul DeJong,SS,2400.0,6.86
Dylan Moore,OF/SS/2B,2400.0,6.35
Ji Man Choi,1B,2400.0,6.32
Jake Meyers,OF,2300.0,6.54
Austin Slater,OF,2300.0,4.86
Blake Sabol,C/OF,2300.0,7.03
Tyler Fitzgerald,SS,2300.0,10.97
Matt Thaiss,C,2300.0,6.48
Eduardo Escobar,3B/2B,2300.0,5.77
Martín Maldonado,C,2300.0,6.01
Matthew Batten,3B,2300.0,7.05
Jon Singleton,1B,2200.0,5.43
David Fletcher,SS,2200.0,4.83
Brett Phillips,OF,2200.0,4.18
Grae Kessinger,SS,2100.0,2.66
Sam Haggerty,2B/1B/OF,2100.0,4.79
Austin Hedges,C,2100.0,3.35
Sam Huff,C,2100.0,5.19
Jonathan Ornelas,3B,2100.0,1.54
Heliot Ramos,OF,2100.0,3.9
José Azocar,OF,2100.0,4.52
Luis Matos,OF,2100.0,6.12
Josh Smith,OF/SS/3B,2100.0,4.8
Jordyn Adams,OF,2100.0,1.62
Chad Wallach,C,2100.0,5.01
Luis Torrens,C,2000.0,3.12
Bryce Johnson,OF,2000.0,3.19
Mike Moustakas,1B/3B,2000.0,7.28
Brett Wisely,OF/2B,2000.0,3.82
Michael Stefanic,2B,2000.0,4.8
Adam Engel,OF,2000.0,0.0
Rougned Odor,2B/3B/OF,2000.0,5.86
Brian O'Keefe,C,2000.0,3.12
José Iglesias,2B/SS,2000.0,7.67
Taylor Trammell,OF,2000.0,6.17
David Hensley,2B/OF,2000.0,4.23
Nelson Cruz,OF,2000.0,6.33
Taylor Kohlwey,OF,2000.0,1.2
Corey Julks,OF,2000.0,7.54
César Salazar,C,2000.0,0.93
AJ Pollock,OF,2000.0,4.63
David Villar,3B/2B,2000.0,5.6
Preston Tucker,OF,2000.0,0.0
Austin Nola,C,2000.0,3.68
Joey Bart,C,2000.0,4.54
J.P. Martínez,OF,2000.0,4.78
Rylan Bannon,3B,2000.0,0.0
Ben Gamel,OF,2000.0,4.23
Tommy La Stella,2B/3B,2000.0,3.11
Wade Meckler,OF,2000.0,4.95
Casey Schmitt,3B/SS/2B,2000.0,5.33
Cooper Hummel,OF,2000.0,3.03
Chris Okey,C,2000.0,0.0
Johan Camargo,SS/3B,2000.0,3.12
Trey Cabbage,3B,2000.0,4.7
Brandon Dixon,1B/OF,2000.0,4.92
Luis González,OF,2000.0,7.37
Brett Sullivan,C,2000.0,3.59
Kevin Padlo,3B,2000.0,3.06
Livan Soto,SS,2000.0,5.34
Josh Harrison,3B/2B/OF,2000.0,4.33
Cade Marlowe,OF,2000.0,7.47
Bligh Madris,OF,2000.0,3.31
